Price,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT
Date,,,,,,,,,,,,,,,,
2024-05-02,172.21682739257812,175.31680297851562,145.2599334716797,394.82562255859375,26.066211700439453,101.98226165771484,153.39352416992188,59.203731536865234,94214900,3278100,8459800,17709400,69649000,5836200,3880000,17574100
2024-05-03,182.51817321777344,177.36627197265625,144.630126953125,403.57879638671875,26.169723510742188,103.30911254882812,153.31590270996094,59.312801361083984,163224100,3130300,6532700,17446700,60568900,3517600,3802200,14207400
2024-05-06,180.8560333251953,174.38966369628906,143.9615936279297,410.4067077636719,26.49907875061035,102.11884307861328,153.6166534423828,59.36237716674805,78569700,2297900,5042800,16996600,59899700,4259700,3314500,11119400
2024-05-07,181.5427703857422,176.91734313964844,144.09722900390625,406.2384948730469,26.132083892822266,105.13352966308594,155.61508178710938,60.10601806640625,77305800,2594800,7333500,20018200,65606400,4088000,3492500,14520200
2024-05-08,181.88119506835938,176.96612548828125,144.320068359375,407.429443359375,26.602590560913086,103.29935455322266,154.819580078125,59.788734436035156,45057100,2014400,7735100,11792300,39087800,2947700,2678300,11015700
2024-05-09,183.70260620117188,181.8848419189453,145.19212341308594,409.1959533691406,26.91781234741211,105.51402282714844,159.408203125,60.13497543334961,48983000,2588000,6546200,14689700,47831100,4208800,2538000,14550500
2024-05-10,182.4368438720703,180.0500946044922,145.25025939941406,411.5975646972656,26.75542640686035,104.8701171875,158.25376892089844,60.174774169921875,50759500,3158100,5710600,13402300,25849800,2872800,2414100,12356600
2024-05-13,185.65603637695312,180.5478057861328,146.51953125,410.5853271484375,27.166166305541992,105.05548095703125,156.0904083251953,60.105125427246094,72044800,1842700,5628500,15440200,39609800,3043100,2629000,19260500
2024-05-14,186.8021697998047,182.4606475830078,146.674560546875,413.40380859375,27.108850479125977,105.64085388183594,155.26992797851562,59.55790328979492,52393600,2008300,8254200,15109300,23530900,3727300,2707900,18780100
2024-05-15,189.08450317382812,187.39886474609375,147.92445373535156,420.6317443847656,27.529146194458008,107.30917358398438,153.85357666015625,59.52806091308594,70400000,2815200,5548000,22239500,38376300,4347500,2563700,22240600
